,Date,Province,Dengue,date,value,Counts
117,2015-02-01,la union,10.169668201862828,2015-02-01,24.0,6.0
118,2015-02-01,laguna,9.785570796957314,2015-02-01,18.246753246753247,77.0
119,2015-02-01,lanao del norte,8.439539044153511,2015-02-01,,
120,2015-02-01,lanao del sur,0.0,2015-02-01,,
121,2015-02-01,leyte,2.949000593867705,2015-02-01,27.16533333333333,15.0
122,2015-02-01,maguindanao,3.1887473853967583,2015-02-01,,
123,2015-02-01,marinduque,0.8528020944819441,2015-02-01,30.0246875,32.0
124,2015-02-01,masbate,1.0085242712571705,2015-02-01,49.88888888888889,45.0
125,2015-02-01,misamis occidental,9.632535382959713,2015-02-01,,
126,2015-02-01,misamis oriental,26.27106239281439,2015-02-01,78.75,12.0
127,2015-02-01,mountain province,0.6468723720809884,2015-02-01,7.05,40.0
128,2015-02-01,negros occidental,2.6478064394652607,2015-02-01,0.0,1.0
129,2015-02-01,negros oriental,7.232499012911487,2015-02-01,28.892857142857146,28.0
130,2015-02-01,northern samar,4.741741072486996,2015-02-01,,
131,2015-02-01,nueva ecija,3.950803663185156,2015-02-01,7.0,16.0
132,2015-02-01,nueva vizcaya,9.286139110785848,2015-02-01,,
133,2015-02-01,occidental mindoro,4.923945557575285,2015-02-01,32.94444444444444,18.0
134,2015-02-01,oriental mindoro,6.042231644944251,2015-02-01,12.055555555555555,18.0
135,2015-02-01,palawan,4.07392821738481,2015-02-01,36.384615384615394,26.0
136,2015-02-01,pampanga,12.874826036576767,2015-02-01,10.458333333333334,24.0
137,2015-02-01,pangasinan,3.5512252403503064,2015-02-01,10.748064516129034,62.0
138,2015-02-01,quezon,4.7577997296062335,2015-02-01,29.989750000000004,40.0
139,2015-02-01,quirino,18.519400394727796,2015-02-01,,
140,2015-02-01,rizal,12.516351868282213,2015-02-01,16.616097560975607,41.0
141,2015-02-01,romblon,1.3662088728435249,2015-02-01,32.42857142857143,14.0
142,2015-02-01,samar,2.0500178735933354,2015-02-01,4.0,5.0
143,2015-02-01,sarangani,16.352448549501062,2015-02-01,,
144,2015-02-01,siquijor,6.251041840306718,2015-02-01,53.53333333333333,15.0
145,2015-02-01,sorsogon,0.7566690922114789,2015-02-01,25.303103448275863,29.0
146,2015-02-01,south cotabato,14.373383408346493,2015-02-01,,
147,2015-02-01,southern leyte,0.4742145820983995,2015-02-01,43.14285714285715,7.0
148,2015-02-01,sultan kudarat,4.802393808606134,2015-02-01,,
149,2015-02-01,sulu,0.3637549698022749,2015-02-01,,
150,2015-02-01,surigao del norte,18.75948281548915,2015-02-01,66.66666666666667,6.0
151,2015-02-01,surigao del sur,16.884761502743768,2015-02-01,,
152,2015-02-01,tarlac,8.711394430710374,2015-02-01,10.321428571428571,28.0
153,2015-02-01,tawi-tawi,6.142584748473952,2015-02-01,,
154,2015-02-01,zambales,4.7050988794626045,2015-02-01,39.6,5.0
155,2015-02-01,zamboanga del norte,7.909882706326819,2015-02-01,35.183375,80.0
156,2015-02-01,zamboanga del sur,15.060297264633455,2015-02-01,36.85593220338985,118.0
157,2015-02-01,zamboanga sibugay,8.371121840888666,2015-02-01,43.5375,80.0
158,2015-03-01,abra,4.146624647536905,2015-03-01,25.255384615384607,26.0
159,2015-03-01,agusan del norte,10.700352533236163,2015-03-01,27.8,5.0
160,2015-03-01,agusan del sur,11.275196138459409,2015-03-01,20.6,5.0
161,2015-03-01,aklan,5.566931037902101,2015-03-01,,
162,2015-03-01,albay,0.5323898371343432,2015-03-01,40.64,25.0
163,2015-03-01,antique,2.577266448114472,2015-03-01,,
164,2015-03-01,apayao,9.229426768693783,2015-03-01,33.78565217391305,23.0
165,2015-03-01,aurora,9.797700806210806,2015-03-01,45.83333333333334,6.0
166,2015-03-01,basilan,4.789199049997062,2015-03-01,,
167,2015-03-01,bataan,12.226385328337605,2015-03-01,32.38533333333333,15.0
168,2015-03-01,batangas,4.7135935212213775,2015-03-01,12.4375,16.0
169,2015-03-01,benguet,4.92679291047133,2015-03-01,2.3846153846153846,26.0
170,2015-03-01,biliran,9.90606717478964,2015-03-01,,
171,2015-03-01,bohol,6.470964402082889,2015-03-01,37.79411764705883,34.0
172,2015-03-01,bukidnon,10.881654237556406,2015-03-01,46.0,1.0
173,2015-03-01,bulacan,5.984075070069874,2015-03-01,18.88888888888889,27.0
174,2015-03-01,cagayan,4.252409698829337,2015-03-01,,
175,2015-03-01,camarines norte,0.342869094294144,2015-03-01,54.384615384615394,13.0
176,2015-03-01,camarines sur,1.5876722880508711,2015-03-01,15.566666666666665,18.0
177,2015-03-01,camiguin,53.1205497411786,2015-03-01,,
178,2015-03-01,capiz,4.990911287865256,2015-03-01,,
179,2015-03-01,catanduanes,3.4487515519381984,2015-03-01,35.86666666666667,15.0
180,2015-03-01,cavite,9.460889687929292,2015-03-01,12.398333333333332,12.0
181,2015-03-01,cebu,6.346658365640487,2015-03-01,20.4,25.0
182,2015-03-01,compostela valley,2.988695936867874,2015-03-01,56.153846153846146,13.0
