,Date,Province,Unnamed: 0,count,mosquito,date,Dengue
113,2015-06-01,bataan,5,26.0,36.020769230769226,2015-06-01,3.1551962137645435
114,2015-07-01,bataan,6,40.0,40.6135,2015-07-01,7.625057516597647
115,2015-08-01,bataan,7,38.0,42.50026315789473,2015-08-01,12.75225136396503
116,2015-09-01,bataan,8,44.0,34.20249999999999,2015-09-01,21.69197396963124
117,2015-10-01,bataan,9,35.0,31.456,2015-10-01,43.778347465983046
118,2015-11-01,bataan,10,31.0,30.361290322580647,2015-11-01,57.84526391901663
119,2015-12-01,bataan,11,24.0,26.66291666666667,2015-12-01,53.7698021429041
120,2015-01-01,batangas,0,48.0,26.696874999999995,2015-01-01,9.204497584747257
121,2015-02-01,batangas,1,41.0,27.97560975609756,2015-02-01,5.455891713539705
122,2015-03-01,batangas,2,13.0,15.307692307692307,2015-03-01,4.7135935212213775
123,2015-04-01,batangas,3,,23.33333333333333,2015-04-01,2.6351585827300616
124,2015-05-01,batangas,4,,32.69230769230769,2015-05-01,3.6743760519757194
125,2015-06-01,batangas,5,83.0,26.43096385542169,2015-06-01,5.047627707764625
126,2015-07-01,batangas,6,171.0,27.03356725146199,2015-07-01,11.171587794390824
127,2015-08-01,batangas,7,146.0,30.805068493150678,2015-08-01,26.0917814599892
128,2015-09-01,batangas,8,155.0,29.438709677419357,2015-09-01,35.741657960127455
129,2015-10-01,batangas,9,121.0,30.760578512396684,2015-10-01,45.614223917961205
130,2015-11-01,batangas,10,113.0,28.80938053097345,2015-11-01,34.85090012934546
131,2015-12-01,batangas,11,103.0,22.18951456310679,2015-12-01,12.507724540563814
132,2015-01-01,benguet,0,8.0,38.75,2015-01-01,6.5690572139617736
133,2015-02-01,benguet,1,12.0,25.83333333333333,2015-02-01,4.800464887125911
134,2015-03-01,benguet,2,5.0,12.4,2015-03-01,4.92679291047133
135,2015-04-01,benguet,3,5.0,14.6,2015-04-01,6.063745120580099
136,2015-05-01,benguet,4,2.0,16.5,2015-05-01,4.674136863780492
137,2015-06-01,benguet,5,2.0,9.72,2015-06-01,27.286853042610442
138,2015-07-01,benguet,6,23.0,21.47739130434783,2015-07-01,55.45800224863882
139,2015-08-01,benguet,7,26.0,22.831923076923083,2015-08-01,87.67164820172059
140,2015-09-01,benguet,8,31.0,23.65,2015-09-01,92.4721130888465
141,2015-10-01,benguet,9,32.0,30.91625,2015-10-01,85.39774378150305
142,2015-11-01,benguet,10,28.0,13.301428571428573,2015-11-01,62.91135562601852
143,2015-12-01,benguet,11,13.0,11.099999999999998,2015-12-01,50.910193408203746
144,2015-01-01,biliran,0,1.0,55.0,2015-01-01,4.661678670489243
145,2015-02-01,biliran,1,,40.23766990291261,2015-02-01,20.394844183390436
146,2015-03-01,biliran,2,,34.82566666666666,2015-03-01,9.90606717478964
147,2015-04-01,biliran,3,,21.845,2015-04-01,4.078968836678087
148,2015-05-01,biliran,4,,26.678461538461537,2015-05-01,5.827098338111553
149,2015-06-01,biliran,5,4.0,30.28,2015-06-01,7.57522783954502
150,2015-07-01,biliran,6,10.0,58.39700000000001,2015-07-01,10.488777008600797
151,2015-08-01,biliran,7,8.0,56.755,2015-08-01,2.9135491690557767
152,2015-09-01,biliran,8,9.0,54.61555555555553,2015-09-01,3.4962590028669323
153,2015-10-01,biliran,9,3.0,35.0,2015-10-01,4.661678670489243
154,2015-11-01,biliran,10,,37.469859154929594,2015-11-01,4.661678670489243
155,2015-12-01,biliran,11,2.0,61.11,2015-12-01,5.244388504300399
156,2015-01-01,bohol,0,34.0,44.925588235294114,2015-01-01,13.170315783062822
157,2015-02-01,bohol,1,57.0,41.631578947368425,2015-02-01,7.156125338774019
158,2015-03-01,bohol,2,29.0,44.31034482758621,2015-03-01,6.470964402082889
159,2015-04-01,bohol,3,2.0,7.5,2015-04-01,3.349675690489966
160,2015-05-01,bohol,4,3.0,15.0,2015-05-01,2.5122567678674748
161,2015-06-01,bohol,5,8.0,37.30375,2015-06-01,5.2529005146319925
162,2015-07-01,bohol,6,40.0,54.25075,2015-07-01,17.43353938914096
163,2015-08-01,bohol,7,40.0,60.07550000000001,2015-08-01,30.984500137032185
164,2015-09-01,bohol,8,49.0,55.165918367346926,2015-09-01,41.18578519443345
165,2015-10-01,bohol,9,50.0,48.12860000000001,2015-10-01,38.52127044063461
166,2015-11-01,bohol,10,25.0,57.55280000000001,2015-11-01,29.385791284752884
167,2015-12-01,bohol,11,20.0,46.645,2015-12-01,23.98063278418953
168,2015-01-01,bukidnon,0,1.0,42.86,2015-01-01,15.474560246914628
169,2015-02-01,bukidnon,1,,51.71681415929204,2015-02-01,12.153535901686373
170,2015-03-01,bukidnon,2,1.0,46.0,2015-03-01,10.881654237556404
171,2015-04-01,bukidnon,3,,23.077777777777772,2015-04-01,11.093634514911399
172,2015-05-01,bukidnon,4,,28.363636363636363,2015-05-01,13.213437288461348
173,2015-06-01,bukidnon,5,,45.298529411764704,2015-06-01,26.568194761826025
174,2015-07-01,bukidnon,6,43.0,51.30767441860465,2015-07-01,45.29311926151724
175,2015-08-01,bukidnon,7,45.0,56.534222222222226,2015-08-01,37.16720862957577
176,2015-09-01,bukidnon,8,52.0,55.00288461538461,2015-09-01,28.89997781273097
177,2015-10-01,bukidnon,9,39.0,51.392564102564116,2015-10-01,23.883111248662757
178,2015-11-01,bukidnon,10,39.0,55.554102564102564,2015-11-01,18.93690477704621
179,2015-12-01,bukidnon,11,28.0,52.727857142857154,2015-12-01,17.877003390271234
180,2015-01-01,bulacan,0,37.0,13.96108108108108,2015-01-01,8.049644129789424
181,2015-02-01,bulacan,1,32.0,13.90625,2015-02-01,8.019268114205314
182,2015-03-01,bulacan,2,23.0,22.17391304347826,2015-03-01,5.984075070069874
183,2015-04-01,bulacan,3,4.0,30.25,2015-04-01,4.769034446705432
184,2015-05-01,bulacan,4,2.0,37.0,2015-05-01,4.6171543687848775
185,2015-06-01,bulacan,5,60.0,20.6325,2015-06-01,10.206341236261308
186,2015-07-01,bulacan,6,110.0,31.56518181818181,2015-07-01,33.20098503343336
187,2015-08-01,bulacan,7,116.0,32.10974137931036,2015-08-01,56.681645079951195
188,2015-09-01,bulacan,8,115.0,40.4533043478261,2015-09-01,65.91595381752094
189,2015-10-01,bulacan,9,98.0,35.50612244897961,2015-10-01,58.80796617083897
190,2015-11-01,bulacan,10,97.0,26.34257731958763,2015-11-01,29.009094882826037
191,2015-12-01,bulacan,11,62.0,22.778387096774196,2015-12-01,13.729959044018187
192,2015-01-01,cagayan,0,,32.965112781954886,2015-01-01,9.505386385618518
193,2015-02-01,cagayan,1,2.0,90.625,2015-02-01,7.921155321348764
194,2015-03-01,cagayan,2,,21.5328,2015-03-01,4.252409698829337
195,2015-04-01,cagayan,3,,20.85,2015-04-01,4.919454357469233
196,2015-05-01,cagayan,4,,35.0,2015-05-01,12.256945602508088
197,2015-06-01,cagayan,5,,42.290689655172415,2015-06-01,42.023813494313444
198,2015-07-01,cagayan,6,8.0,61.05875,2015-07-01,91.30173765133576
199,2015-08-01,cagayan,7,21.0,75.58809523809524,2015-08-01,138.74528899709836
200,2015-09-01,cagayan,8,24.0,62.30583333333333,2015-09-01,46.776506687122705
201,2015-10-01,cagayan,9,19.0,38.41315789473684,2015-10-01,27.098689257245773
202,2015-11-01,cagayan,10,42.0,37.45833333333332,2015-11-01,16.09245238968749
203,2015-12-01,cagayan,11,30.0,41.417333333333346,2015-12-01,2.6681786345595837
204,2015-01-01,camarines norte,0,19.0,51.05263157894736,2015-01-01,1.200041830029504
205,2015-02-01,camarines norte,1,30.0,48.96066666666666,2015-02-01,1.5429109243236478
206,2015-03-01,camarines norte,2,13.0,54.384615384615394,2015-03-01,0.342869094294144
207,2015-04-01,camarines norte,3,5.0,18.316,2015-04-01,0.85717273573536
208,2015-05-01,camarines norte,4,3.0,28.736666666666668,2015-05-01,1.200041830029504
209,2015-06-01,camarines norte,5,,29.28773809523809,2015-06-01,1.028607282882432
210,2015-07-01,camarines norte,6,1.0,42.86,2015-07-01,1.885780018617792
211,2015-08-01,camarines norte,7,17.0,48.88411764705882,2015-08-01,4.800167320118016
212,2015-09-01,camarines norte,8,25.0,59.24760000000001,2015-09-01,0.85717273573536
213,2015-10-01,camarines norte,9,17.0,60.78411764705882,2015-10-01,1.885780018617792
214,2015-11-01,camarines norte,10,21.0,60.16952380952381,2015-11-01,1.71434547147072
215,2015-12-01,camarines norte,11,9.0,57.57222222222222,2015-12-01,0.0
216,2015-01-01,camarines sur,0,56.0,28.84107142857143,2015-01-01,2.253470344330269
217,2015-02-01,camarines sur,1,46.0,20.438695652173923,2015-02-01,1.9973941688381927
218,2015-03-01,camarines sur,2,16.0,17.5125,2015-03-01,1.5876722880508711
219,2015-04-01,camarines sur,3,5.0,15.484000000000002,2015-04-01,1.3315961125587952
220,2015-05-01,camarines sur,4,3.0,16.94,2015-05-01,1.7413179933461167
221,2015-06-01,camarines sur,5,2.0,70.0,2015-06-01,3.431420751593818
222,2015-07-01,camarines sur,6,5.0,55.513999999999996,2015-07-01,6.50433485749873
223,2015-08-01,camarines sur,7,20.0,44.03150000000001,2015-08-01,12.138010718324402
224,2015-09-01,camarines sur,8,23.0,31.921739130434784,2015-09-01,8.040791910451185
225,2015-10-01,camarines sur,9,23.0,28.11260869565218,2015-10-01,5.736106331022502
226,2015-11-01,camarines sur,10,24.0,34.99791666666666,2015-11-01,5.22395398003835
227,2015-12-01,camarines sur,11,28.0,28.187500000000004,2015-12-01,2.56076175492076
228,2015-01-01,camiguin,0,,51.012268041237114,2015-01-01,36.16718280250458
229,2015-02-01,camiguin,1,,45.107843137254896,2015-02-01,36.16718280250458
230,2015-03-01,camiguin,2,,43.272558139534894,2015-03-01,53.1205497411786
231,2015-04-01,camiguin,3,,18.03636363636364,2015-04-01,11.30224462578268
232,2015-05-01,camiguin,4,,37.846153846153854,2015-05-01,6.781346775469609
233,2015-06-01,camiguin,5,2.0,0.0,2015-06-01,7.911571238047876
234,2015-07-01,camiguin,6,12.0,42.07583333333333,2015-07-01,11.30224462578268
235,2015-08-01,camiguin,7,24.0,42.53333333333335,2015-08-01,24.864938176721896
